term,coef_log_odds,ci_low_log_odds,ci_high_log_odds,p_value,odds_ratio,ci_low_or,ci_high_or
const,-5.9583128111988675,-7.1865791318371,-4.7300464905606345,1.947860063113433e-21,0.002584268444676795,0.000756673177296685,0.008826060701678162
distance_to_goal,0.07896707600266734,0.06736261254679138,0.0905715394585433,1.4038778850447225e-40,1.082168692164644,1.069683288439398,1.09479982622696
angle_to_goal,-0.05862778829944675,-0.1366248253356207,0.019369248736727206,0.14068633729449775,0.9430577209569021,0.8722974286442556,1.0195580496421803
is_penalty,2.789752893511473,2.07018609154605,3.5093196954768957,2.989824241813028e-14,16.27699715318732,7.926297997662736,33.425520514493954
shot_quality_index,4.649634100449153,4.217128891116614,5.082139309781692,1.4825260256022478e-98,104.54672497806104,67.83843288920093,161.11836960458828
defensive_pressure,-0.3650575987149544,-0.727222856613875,-0.002892340816033845,0.04819820135149531,0.6941566671944781,0.4832491805439187,0.9971118379718671
buildup_passes,0.0002519673141644366,-0.024889551612765994,0.025393486241094866,0.9843284150875923,1.0002519990605945,0.9754176393842164,1.0257186473030528
buildup_unique_players,0.020579113554226803,-0.049905879726234406,0.091064106834688,0.5671594991331126,1.0207923235575755,0.9513189586879869,1.0953392217381785
buildup_decentralized,0.15959550669394384,-0.19759397969918935,0.516784993087077,0.38117699014461415,1.1730362896888606,0.820703007581535,1.6766286028144048
ppda,0.007640746655109437,0.0015063461797345835,0.01377514713048429,0.014636630134200829,1.0076700116478152,1.0015074812890254,1.0138704616239145
pass_decentralization,-0.002936846167389194,-0.07619644499500078,0.07032275266022239,0.9373734989767195,0.9970674621466658,0.9266341560363606,1.072854391990039
first_touch,0.2334689722069227,0.041426745299221995,0.42551119911462343,0.017183334495259748,1.262973639998195,1.0422968059141529,1.53037254482546
