class_vs_reference,term,coef_log_odds,ci_low_log_odds,ci_high_log_odds,p_value,odds_ratio,ci_low_or,ci_high_or
D,const,-1.2609059972259886,-4.386269002868424,1.8644570084164465,0.4290993148243466,0.2833971531194769,0.012447082724217772,6.452431318702548
D,implied_prob_h,3.1396858496230746,0.5818745799165801,5.697497119329569,0.016135562447755217,23.096609910186324,1.7893896425984508,298.1203068598664
D,implied_prob_d,-3.5419553965725052,-13.37521110028717,6.291300307142161,0.4801991110152497,0.02895664995305469,1.5531722582345955e-06,539.8548500066601
D,points_form_diff,-0.3406902790110421,-0.7734590209601049,0.09207846293802069,0.12284282584898233,0.7112791721830943,0.4614142631475417,1.0964508494608363
D,home_strength_rating,0.6061234049948507,-0.1406265564715996,1.352873366461301,0.11163945845264756,1.8333106027525616,0.8688137039779352,3.868525267012039
H,const,-3.7323293013662338,-7.053057114540033,-0.4116014881924337,0.02760180380041242,0.023937014329210717,0.0008647612380241433,0.6625882726959629
H,implied_prob_h,6.576327402943303,3.950972126438086,9.20168267944852,9.127642880334664e-07,717.8979319921439,51.98587912619224,9913.796773688353
H,implied_prob_d,2.200270867677327,-7.687210788067343,12.087752523421997,0.6627259553267512,9.027458414987908,0.0004586556771778976,177682.32137836755
H,points_form_diff,-0.2978165233040924,-0.7045953074589649,0.10896226085078009,0.15129963438789149,0.7424375472400273,0.4943085767776393,1.1151202658572252
H,home_strength_rating,0.5854274469196022,-0.14590207878755102,1.3167569726267554,0.11666046556176919,1.7957584130129742,0.8642423266978366,3.731301023207508
